0.543 ,0.566 
0.278 ,0.564 
0.425 ,0.373 
0.845 ,0.342 
0.005 ,0.013 
0.122 ,0.718 
0.671 ,0.536 
0.826 ,0.313 
0.137 ,0.677 
0.575 ,0.489 
0.891 ,0.236 
0.209 ,0.660 
0.185 ,0.769 
0.108 ,0.660 
0.220 ,0.716 
0.979 ,0.821 
0.812 ,0.324 
0.172 ,0.691 
0.816 ,0.313 
0.274 ,0.411 
0.432 ,0.369 
0.940 ,0.443 
0.818 ,0.172 
0.336 ,0.466 
0.175 ,0.675 
0.373 ,0.424 
0.006 ,(0.006)
0.252 ,0.571 
0.796 ,0.367 
0.015 ,0.071 
0.599 ,0.490 
0.604 ,0.560 
0.105 ,0.651 
0.382 ,0.385 
0.037 ,0.309 
0.890 ,0.256 
0.981 ,0.926 
0.060 ,0.534 
0.891 ,0.222 
0.577 ,0.542 
0.742 ,0.362 
0.630 ,0.655 
0.582 ,0.481 
0.020 ,0.114 
0.210 ,0.628 
0.545 ,0.461 
0.769 ,0.442 
0.251 ,0.572 
0.286 ,0.563 
0.852 ,0.332 
0.975 ,0.708 
0.885 ,0.251 
0.360 ,0.515 
0.599 ,0.603 
0.355 ,0.392 
0.340 ,0.453 
0.178 ,0.609 
0.238 ,0.600 
0.045 ,0.434 
0.505 ,0.526 
0.376 ,0.375 
0.593 ,0.522 
0.630 ,0.592 
0.143 ,0.685 
0.934 ,0.569 
0.946 ,0.523 
0.602 ,0.525 
0.388 ,0.482 
0.363 ,0.459 
0.204 ,0.631 
0.277 ,0.646 
0.247 ,0.571 
0.174 ,0.712 
0.967 ,0.714 
0.957 ,0.602 
0.598 ,0.497 
0.731 ,0.541 
0.340 ,0.425 
0.092 ,0.695 
0.463 ,0.461 
0.509 ,0.506 
0.089 ,0.602 
0.528 ,0.559 
0.992 ,0.903 
0.395 ,0.542 
0.336 ,0.392 
0.805 ,0.343 
0.754 ,0.467 
0.313 ,0.384 
0.634 ,0.548 
0.540 ,0.545 
0.297 ,0.420 
0.111 ,0.694 
0.313 ,0.451 
0.457 ,0.462 
0.659 ,0.639 
0.254 ,0.593 
0.641 ,0.548 
0.200 ,0.634 
0.658 ,0.472 
